model,n_features,RMSE_train,RMSE_test,R2_train,R2_test,synthetic_features
A_numeric_only,4,2.0442208104475825,2.1241191675435633,0.9887160158963184,0.9875616293901349,
B_num_plus_cat,5,2.0208296839025106,2.103137932775864,0.9889727738693016,0.987806138724012,
C_with_synthetic,6,2.0207975287415,2.103132766907687,0.9889731247938882,0.9878061986266952,['Hours_Studied_x_Sample_Question_Papers_Practiced']
